Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Total Claim Amount,Policy Type,Vehicle Class
GS98873,Arizona,F,Bachelor,323912.47%,16061,88,1/0/00,633.6,Personal Auto,Four-Door Car
CW49887,California,F,Master,462680.11%,79487,114,1/0/00,547.2,Special Auto,SUV
MY31220,California,F,College,899704.02%,54230,112,1/0/00,537.6,Personal Auto,Two-Door Car
UH35128,Oregon,F,College,2580706.30%,71210,214,1/1/00,1027.2,Personal Auto,Luxury Car
WH52799,Arizona,F,College,380812.21%,94903,94,1/0/00,451.2,Corporate Auto,Two-Door Car
WL99637,Arizona,M,Bachelor,761413.80%,27293,96,1/0/00,469.030907,Personal Auto,Two-Door Car
UC84059,California,F,Master,689845.53%,70950,171,1/0/00,565.929394,Personal Auto,Sports Car
HW62747,Oregon,M,College,229837.92%,0,63,1/0/00,302.4,Corporate Auto,Four-Door Car
BH11344,Oregon,F,Doctor,280669.61%,37009,71,1/0/00,145.673348,Corporate Auto,Two-Door Car
TX28465,Nevada,M,College,520611.82%,52629,65,1/0/00,136.684141,Personal Auto,Four-Door Car
OK56965,California,F,Bachelor,4570865.34%,31264,198,1/1/00,825.657746,Personal Auto,Luxury SUV
WT22392,Oregon,F,College,800734.91%,65473,67,1/0/00,277.685667,Personal Auto,Four-Door Car
PH85036,Washington,F,Bachelors,548254.94%,79325,68,1/0/00,251.294821,Corporate Auto,Four-Door Car
KC71643,Oregon,M,High School or Below,246323.68%,99144,61,1/0/00,292.8,Corporate Auto,Four-Door Car
NR32615,California,M,College,549894.07%,22520,73,1/0/00,350.4,Corporate Auto,Four-Door Car
GS69842,Arizona,F,Bachelor,524382.80%,36615,65,1/0/00,264.563772,Special Auto,Four-Door Car
WT71621,Washington,F,Bachelors,328045.73%,63297,82,1/0/00,251.756739,Personal Auto,Four-Door Car
KD23847,Arizona,F,High School or Below,488654.43%,76374,61,1/0/00,292.8,Personal Auto,Four-Door Car
PE59368,Washington,F,Bachelors,512348.50%,72096,6464,1/0/00,252.330905,Personal Auto,Two-Door Car
NK91488,Nevada,M,Master,547955.51%,56005,68,1/1/00,326.4,Personal Auto,Four-Door Car
CR33417,Washington,F,Master,476215.70%,36529,118,1/0/00,255.005116,Personal Auto,SUV
WP73172,Oregon,F,Bachelor,828767.93%,81367,103,1/0/00,415.768941,Special Auto,SUV
PS30217,California,F,Bachelor,988665.64%,44817,83,1/0/00,527.421579,Personal Auto,Four-Door Car
EL62967,Oregon,F,High School or Below,271291.56%,58508,69,1/0/00,57.614392,Personal Auto,Two-Door Car
MU23938,Oregon,M,Bachelor,1047767.63%,45259,138,1/0/00,272.217171,Personal Auto,SUV
VC83809,California,M,Doctor,343613.43%,30817,88,1/0/00,91.834668,Personal Auto,Four-Door Car
VL34577,Oregon,F,High School or Below,259618.52%,0,72,1/0/00,345.6,Personal Auto,Two-Door Car
QE12539,California,M,Doctor,1273195.16%,40870,105,1/0/00,504,Personal Auto,SUV
YO15246,Nevada,M,High School or Below,349414.79%,35001,96,1/3/00,460.8,Personal Auto,Four-Door Car
WF73839,Arizona,F,College,759791.07%,49937,64,1/0/00,302.586407,Personal Auto,Two-Door Car
TJ11671,Oregon,F,Bachelor,401521.45%,0,109,1/0/00,523.2,Personal Auto,Four-Door Car
SV34223,California,F,College,2047710.84%,58317,73,1/0/00,350.4,Personal Auto,Four-Door Car
XD19546,California,F,High School or Below,816068.98%,0,109,1/0/00,523.2,Personal Auto,SUV
OY95739,Nevada,M,High School or Below,1229868.63%,17101,113,1/0/00,542.4,Corporate Auto,SUV
SW57539,California,F,College,871492.21%,0,118,1/0/00,566.4,Corporate Auto,SUV
IA62027,Arizona,F,Bachelor,485353.42%,0,65,1/0/00,468,Personal Auto,Four-Door Car
FZ20933,Oregon,M,High School or Below,488094.64%,24398,63,1/1/00,302.4,Personal Auto,Four-Door Car
WR62597,Oregon,M,College,231138.21%,24641,61,1/0/00,294.92773,Corporate Auto,Four-Door Car
