Customer,State,Customer Lifetime Value,Education,Gender,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Total Claim Amount,Vehicle Class
SA25987,Washington,3479.137523,High School or Below,M,0,104,0,Personal Auto,499.2,Two-Door Car
TB86706,Arizona,2502.637401,Master,M,0,66,0,Personal Auto,3.468912,Two-Door Car
ZL73902,Nevada,3265.156348,Bachelor,F,25820,82,0,Personal Auto,393.6,Four-Door Car
KX23516,California,4455.843406,High School or Below,F,0,121,0,Personal Auto,699.615192,SUV
FN77294,California,7704.95848,High School or Below,M,30366,101,2,Personal Auto,484.8,SUV
VI78454,Arizona,2750.705045,College,M,51789,70,0,Personal Auto,336,Four-Door Car
FP59138,Oregon,13024.13012,Master,M,0,125,0,Personal Auto,900,SUV
XN62489,Oregon,2538.62632,Bachelor,M,18608,71,0,Corporate Auto,340.8,Four-Door Car
GP66031,California,2585.955652,College,F,83758,64,0,Corporate Auto,106.591949,Two-Door Car
IX68587,Nevada,5096.673223,Master,F,22886,65,0,Personal Auto,312,Four-Door Car
HX17929,California,10083.48688,High School or Below,F,11828,90,0,Personal Auto,571.479602,Four-Door Car
IC59236,California,4943.386117,College,F,44762,62,0,Corporate Auto,114.51444,Four-Door Car
VG31922,Nevada,6516.214888,Bachelor,F,0,175,0,Personal Auto,1221.143438,SUV
HP87787,Arizona,8838.085637,Bachelor,M,82664,114,3,Corporate Auto,133.425609,SUV
AL78075,Oregon,3810.238281,High School or Below,M,0,108,0,Personal Auto,777.6,Four-Door Car
WA97671,Arizona,6334.466403,Bachelor,M,0,63,0,Personal Auto,302.4,Four-Door Car
QZ77637,Washington,11665.09779,College,F,84978,72,1,Corporate Auto,166.77296,Four-Door Car
FP11777,California,10972.06778,Doctor,M,24164,137,0,Corporate Auto,657.6,Sports Car
ID45268,California,6006.963446,College,F,0,80,0,Personal Auto,488.910614,Four-Door Car
AX86150,Washington,2656.713092,High School or Below,M,62777,67,0,Personal Auto,101.288069,Two-Door Car
MW57614,Arizona,2359.423599,Bachelor,F,19864,63,0,Personal Auto,352.394515,Four-Door Car
