,id,state,gender,median_home_val,median_household_income,ic4,hvp1,ic5,pobc1,pobc2,ic2,ic3,avggift,tcode,dob,domain,target_d
0,44060,FL,M,AAA896,392,520.0,7,21975,6,16,430.0,466,28.0,1,1901,C2,100.0
1,96093,IL,M,537.00,365,473.0,0,19387,1,89,415.0,410,5.666666667,0,0,T2,7.0
2,43333,FL,F,725.00,301,436.0,3,18837,11,17,340.0,361,4.111111111,0,2501,C2,5.0
3,21885,NC,M,AAA1095,401,413.0,7,14014,1,74,407.0,399,27.27777778,0,2208,T2,38.0
4,190108,FL,F,995.00,252,348.0,0,17991,5,6,280.0,316,6.0,28,0,C2,5.0
5,100640,IL,M,764.00,457,501.0,1,16022,2,75,477.0,480,25.57142857,1,6104,S2,30.0
6,18581,NC,female,775.00,318,419.0,5,13491,0,73,364.0,380,4.625,0,4407,R2,12.0
7,119038,TX,M,890.00,519,560.0,0,17872,2,46,525.0,551,6.175,1002,0,C1,7.0
10,141720,NV,F,1569,673,781.0,22,25775,3,44,672.0,785,13.0,28,5401,T1,5.0
11,186272,CA,F,3515,521,588.0,97,20068,11,54,565.0,549,8.64,2,3401,U1,10.0
12,154301,Cali,F,1026,459,496.0,1,13803,12,52,470.0,491,11.25,2,2801,T2,10.0
13,189722,AP,Male,0,0,0.0,0,0,0,0,0.0,0,5.727272727,1,0,0,6.0
14,188304,KS,F,376,263,316.0,0,10755@,1,75,303.0,287,10.55,0,2405,T2,10.0
16,31977,FL,F,1513,521,702.0,31,28124,3,24,599.0,615,18.5,2,2701,T1,28.0
17,44336,FL,F,948,330,411.0,4,17728,6,8,365.0,368,15.0,0,6501,C2,15.0
18,127823,TX,F,258,64,74.0,0,4236,0,94,60.0,93,5.45,2,2301,C3,6.0
19,150739,CA,U,1951,556,625.0,44,17208,10,66,578.0,619,9.681818182,2,5410,S1,12.0
23,64480,IN,F,526,277,370.0,1,12826,1,80,336.0,317,7.142857143,28,0,T2,10.0
24,87259,MT,M,717,302,432.0,1,15614,1,53,458.0,349,9.7,2,4304,C1,25.0
25,115823,TX,M,1011,593,650.0,1,17606,5,61,588.0,650,6.5,0,0,S1,15.0
26,95701,IL,M,1063,255,317.0,3,14023,16,53,260.0,312,8.372790698,1,4406,S2,5.0
27,5172,IL,M,291,136,212.0,0,8370,5,67,168.0,180,10.61111111,1,6105,R3,10.0
28,152486,CA,M,1538,271,393.0,11,15627,5,49,317.0,342,5.5,1,2401,S2,5.0
29,153880,WI,F,592,244,392.0,1,12220,3,74,341.0,306,12.5,2,5001,S1,5.0
30,101855,MO,M,871,340,416.0,6,15336,0,71,385.0,365,7.857142857,1,2401,C2,10.0
31,62932,IN,M,403,174,264.0,1,9704,0,45,240.0,201,8.0,1,0,S3,10.0
32,125930,TX,F,715,339,396.0,1,12617,3,88,378.0,371,6.0,0,4806,R2,7.5
33,173653,HI,F,2346,420,503.0,67,14552,5,78,446.0,468,15.5,28,2401,C2,21.0
34,11011,FL,M,559,232,269.0,0,10511,11,20,270.0,257,12.61111111,1002,2601,S3,20.0
36,154245,CA,F,596,164,190.0,0,5273,23,57,168.0,181,16.5,2,4304,R1,15.0
37,134773,UT,M,706,362,394.0,1,10420,1,82,376.0,379,15.0,1,3201,C3,25.0
38,26271,GA,F,878,310,588.0,30,22281,4,55,517.0,433,10.13333333,28,3701,C2,16.0
39,180292,WA,F,1275,405,545.0,21,20971,6,51,453.0,500,6.6,28,2105,C2,10.0
40,10145,CA,F,2362,613,678.0,74,21179,9,61,632.0,655,8.928571429,2,5401,C1,5.0
41,133806,ID,U,718,226,357.0,0,17292,0,39,280.0,278,20.0,0,0,T2,15.0
42,112632,CT,M,2531,669,750.0,77,21094,6,51,730.0,696,8.272727273,2,5001,0,11.0
