CONTROLN,STATE,GENDER,HV1,IC1,IC4,HVP1,IC5,POBC1,POBC2,IC2,IC3,AVGGIFT,TCODE,DOB,DOMAIN,TARGET_D
44060,FL,M,AAA896,392,520,7,21975,6,16,430,466,28,1,1901,C2,100
96093,IL,M,537.00,365,473,0,19387,1,89,415,410,5.666666667,0,0,T2,7
43333,FL,F,725.00,301,436,3,18837,11,17,340,361,4.111111111,0,2501,C2,5
21885,NC,M,AAA1095,401,413,7,14014,1,74,407,399,27.27777778,0,2208,T2,38
190108,FL,F,995.00,252,348,0,17991,5,6,280,316,6,28,0,C2,5
100640,IL,M,764.00,457,501,1,16022,2,75,477,480,25.57142857,1,6104,S2,30
18581,NC,female,775.00,318,419,5,13491,0,73,364,380,4.625,0,4407,R2,12
119038,TX,M,890.00,519,560,0,17872,2,46,525,551,6.175,1002,0,C1,7
173223,CA,F,,184,250,0,8708,2,63,206,235,8.818181818,0,1801,T2,10
157988,CA,F,AAA2294,593,617,61,17838,7,62,,619,6.666666667,28,0,S1,10
141720,NV,F,1569,673,781,22,25775,3,44,672,785,13,28,5401,T1,5
186272,CA,F,3515,521,588,97,20068,11,54,565,549,8.64,2,3401,U1,10
154301,Cali,F,1026,459,496,1,13803,12,52,470,491,11.25,2,2801,T2,10
189722,AP,Male,0,0,0,0,0,0,0,0,0,5.727272727,1,0,0,6
188304,KS,F,376,263,316,0,10755@,1,75,303,287,10.55,0,2405,T2,10
73699,MI,,890,463,523,1,9493,5,53,474,512,11.28571429,1,5102,S1,15
31977,FL,F,1513,521,702,31,28124,3,24,599,615,18.5,2,2701,T1,28
44336,FL,F,948,330,411,4,17728,6,8,365,368,15,0,6501,C2,15
127823,TX,F,258,64,74,0,4236,0,94,60,93,5.45,2,2301,C3,6
150739,CA,U,1951,556,625,44,17208,10,66,578,619,9.681818182,2,5410,S1,12
41384,FL,F,556,318,,0,11779,16,22,358,320,9.428571429,28,5107,S3,12
114721,OK,,1040,472,656,0,26962,2,56,609,579,11.66666667,0,0,C2,15
111795,AR,,603,208,341,2,12038,1,70,264,288,5,0,0,0,5
64480,IN,F,526,277,370,1,12826,1,80,336,317,7.142857143,28,0,T2,10
87259,MT,M,717,302,432,1,15614,1,53,458,349,9.7,2,4304,C1,25
115823,TX,M,1011,593,650,1,17606,5,61,588,650,6.5,0,0,S1,15
95701,IL,M,1063,255,317,3,14023,16,53,260,312,8.372790698,1,4406,S2,5
5172,IL,M,291,136,212,0,8370,5,67,168,180,10.61111111,1,6105,R3,10
152486,CA,M,1538,271,393,11,15627,5,49,317,342,5.5,1,2401,S2,5
