CustomerNo,Website View,Test Group
1,88,A
2,56,B
3,80,B
4,49,A
5,61,A
6,21,A
7,48,A
8,55,A
9,42,B
10,66,B
11,32,B
12,62,B
13,59,A
14,52,B
15,40,B
16,39,B
17,54,B
18,89,B
19,43,B
20,78,B
21,34,B
22,65,A
23,52,A
24,92,A
25,47,B
26,61,A
27,31,A
28,76,B
29,107,A
30,27,A
31,17,B
32,45,A
33,46,B
34,26,A
35,73,A
36,27,B
37,57,A
38,12,A
39,60,B
40,52,A
41,33,B
42,44,A
43,71,A
44,49,A
45,19,A
46,41,B
47,67,B
48,45,B
49,62,A
50,44,B
51,73,B
52,38,A
53,71,A
54,27,A
55,61,B
56,71,A
57,25,B
58,64,A
59,51,A
60,79,B
61,69,B
62,32,B
63,5,B
64,40,B
65,34,A
66,60,B
67,76,A
68,62,B
69,77,B
70,63,A
71,57,B
72,33,B
73,47,B
74,44,B
75,84,B
76,60,B
77,26,A
78,62,B
79,87,B
80,61,B
81,67,A
82,72,A
83,56,A
84,58,B
85,63,A
86,48,B
87,50,B
88,53,A
89,55,A
90,62,A
91,86,A
92,77,A
93,50,A
94,6,A
95,56,A
96,54,B
97,47,B
98,56,B
99,44,A
100,63,B
101,41,B
102,16,B
103,59,A
104,39,A
105,67,B
106,54,B
107,59,B
108,27,A
109,64,B
110,79,A
111,31,A
112,74,A
113,19,A
114,63,B
115,30,B
116,69,A
117,35,A
118,56,B
119,29,B
120,52,A
121,51,B
122,79,A
123,47,A
124,49,A
125,76,B
126,65,A
127,42,B
128,41,B
129,42,B
130,41,B
131,29,A
132,45,B
133,71,B
134,55,B
135,42,A
136,51,B
137,38,B
138,58,A
139,35,B
140,54,A
141,42,B
142,66,A
143,67,B
144,57,A
145,61,A
146,74,B
147,41,B
148,31,B
149,90,B
150,22,A
151,44,A
152,28,B
153,68,B
154,25,B
155,68,A
156,98,B
157,72,B
158,57,A
159,31,A
160,35,B
161,75,B
162,65,B
163,45,B
164,71,A
165,43,B
166,80,B
167,43,A
168,53,B
169,51,A
170,47,A
171,36,A
172,43,B
173,61,B
174,28,A
175,48,A
176,39,A
177,75,B
178,26,A
179,72,B
180,90,B
181,61,B
182,26,B
183,66,B
184,12,A
185,30,A
186,72,B
187,39,A
188,42,A
189,51,A
190,24,A
191,56,A
192,36,B
193,60,A
194,86,B
195,49,A
196,23,B
197,21,B
198,67,A
199,60,B
200,48,A
201,41,A
202,77,B
203,55,B
204,38,A
205,37,A
206,67,B
207,61,A
208,24,B
209,60,B
210,11,B
211,35,A
212,64,B
213,63,B
214,54,B
215,33,A
216,72,A
217,68,A
218,61,B
219,53,A
220,31,A
221,41,B
222,55,B
223,51,B
224,96,B
225,56,A
226,60,B
227,66,B
228,34,B
229,48,B
230,39,A
231,35,A
232,43,B
233,38,B
234,31,A
235,78,B
236,52,A
237,70,A
238,68,A
239,36,A
240,38,A
241,58,B
242,27,A
243,69,B
244,59,A
245,75,B
246,61,B
247,42,A
248,70,B
249,23,A
250,75,B
251,38,B
252,34,B
253,35,A
254,47,B
255,31,A
256,70,A
257,28,A
258,80,A
259,35,A
260,26,B
261,60,B
262,55,A
263,24,A
264,49,B
265,34,A
266,36,B
267,67,B
268,29,B
269,54,B
270,26,B
271,51,B
272,38,A
273,84,A
274,86,B
275,50,B
276,42,B
277,70,A
278,33,A
279,20,B
280,70,A
281,34,B
282,65,B
283,45,B
284,58,B
285,79,B
286,56,B
287,47,B
288,15,A
289,49,A
290,53,B
291,53,A
292,74,B
293,48,A
294,58,A
295,64,B
296,57,A
297,56,A
298,47,A
299,25,A
300,46,B
301,36,B
302,34,B
303,29,A
304,34,B
305,36,B
306,75,B
307,31,B
308,35,A
309,48,A
310,40,A
311,56,B
312,5,A
313,49,B
314,29,B
315,40,B
316,50,A
317,42,B
318,46,A
319,72,A
320,44,A
321,54,A
322,28,A
323,50,A
324,47,A
325,87,A
326,34,A
327,42,A
328,52,B
329,80,B
330,49,A
331,70,B
332,44,B
333,64,A
334,29,B
335,70,A
336,88,A
337,60,A
338,59,A
339,59,B
340,50,B
341,42,B
342,50,B
343,23,B
344,46,B
345,16,A
346,26,A
347,80,B
348,28,A
349,36,B
350,49,B
351,28,A
352,31,B
353,16,B
354,21,B
355,21,A
356,54,B
357,55,B
358,48,B
359,76,B
360,38,A
361,10,B
362,85,B
363,57,A
364,19,A
365,34,A
366,54,A
367,41,B
368,48,A
369,53,A
370,25,A
371,68,A
372,68,A
373,54,A
374,71,A
375,43,B
376,46,A
377,64,B
378,47,B
379,46,A
380,4,A
381,54,A
382,33,B
383,43,A
384,38,A
385,61,B
386,29,B
387,40,B
388,82,A
389,46,B
390,26,B
391,33,A
392,30,A
393,61,B
394,63,B
395,53,A
396,48,A
397,41,A
398,38,B
399,28,B
400,82,A
401,15,B
402,59,A
403,90,A
404,60,B
405,51,B
406,65,A
407,83,A
408,14,A
409,38,B
410,60,B
411,93,A
412,61,B
413,43,B
414,85,A
415,73,A
416,85,B
417,43,B
418,52,A
419,60,A
420,74,B
421,41,B
422,71,B
423,76,A
424,48,A
425,59,B
426,57,A
427,58,B
428,61,B
429,50,A
430,59,B
431,55,B
432,51,A
433,59,B
434,58,B
435,53,B
436,76,B
437,20,A
438,89,A
439,55,B
440,44,B
441,84,A
442,40,B
443,18,B
444,73,B
445,59,B
446,56,A
447,45,B
448,83,A
449,75,A
450,61,B
451,31,A
452,55,B
453,66,B
454,25,B
455,73,B
456,50,A
457,77,B
