,id,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift,target_d
0,44060,FL,M,1158.437751,392,430,466,520,21975,28,100
1,96093,IL,M,537,365,415,410,473,19387,5.666666667,7
2,43333,FL,F,725,301,340,361,436,18837,4.111111111,5
3,21885,NC,M,1158.437751,401,407,399,413,14014,27.27777778,38
4,190108,FL,F,995,252,280,316,348,17991,6,5
5,100640,,M,764,457,477,480,501,16022,25.57142857,30
6,18581,,female,775,318,364,380,419,13491,4.625,12
7,119038,,M,890,519,525,551,560,17872,6.175,7
8,173223,,F,1158.437751,184,206,235,250,8708,8.818181818,10
10,141720,NV,F,1569,673,672,785,781,25775,13,5
11,186272,CA,F,3515,521,565,549,588,20068,8.64,10
12,154301,Cali,F,1026,459,470,491,496,13803,11.25,10
13,189722,AP,Male,0,0,0,0,0,0,5.727272727,6
15,73699,MI,F,890,463,474,512,523,9493,11.28571429,15
16,31977,FL,F,1513,521,599,615,702,28124,18.5,28
17,44336,FL,F,948,330,365,368,411,17728,15,15
18,127823,,F,258,64,60,93,74,4236,5.45,6
19,150739,,U,1951,556,578,619,625,17208,9.681818182,12
21,114721,,F,1040,472,609,579,656,26962,11.66666667,15
22,111795,,F,603,208,264,288,341,12038,5,5
23,64480,,F,526,277,336,317,370,12826,7.142857143,10
24,87259,MT,M,717,302,458,349,432,15614,9.7,25
25,115823,TX,M,1011,593,588,650,650,17606,6.5,15
26,95701,IL,M,1063,255,260,312,317,14023,8.372790698,5
27,5172,IL,M,291,136,168,180,212,8370,10.61111111,10
28,152486,CA,M,1538,271,317,342,393,15627,5.5,5
29,153880,WI,F,592,244,341,306,392,12220,12.5,5
30,101855,MO,M,871,340,385,365,416,15336,7.857142857,10
31,62932,IN,M,403,174,240,201,264,9704,8,10
32,125930,TX,F,715,339,378,371,396,12617,6,7.5
33,173653,HI,F,2346,420,446,468,503,14552,15.5,21
34,11011,FL,M,559,232,270,257,269,10511,12.61111111,20
35,116894,TX,M,1158.437751,368,457,450,531,33797,12.25,20
36,154245,CA,F,596,164,168,181,190,5273,16.5,15
37,134773,UT,M,706,362,376,379,394,10420,15,25
38,26271,GA,F,878,310,517,433,588,22281,10.13333333,16
39,180292,WA,F,1275,405,453,500,545,20971,6.6,10
40,10145,CA,F,2362,613,632,655,678,21179,8.928571429,5
41,133806,ID,U,718,226,280,278,357,17292,20,15
42,112632,CT,M,2531,669,730,696,750,21094,8.272727273,11
43,143253,CA,F,2089,275,296,322,356,10484,7.125,5
44,403,AL,J,765,408,430,441,472,15150,33.5,35
45,189882,ND,F,832,310,338,348,376,11972,10,10
46,119570,TX,M,1458,299,354,356,446,19185,6.181818182,10
47,144021,CA,F,1590,240,238,262,257,7559,13.5,15
48,93356,IL,F,613,212,245,294,355,11792,11.83333333,25
49,24711,SC,F,477,256,282,292,316,10621,5.875,10
50,74914,IA,F,424,192,256,230,256,9497,4.863636364,6
51,6909,CO,M,383,252,256,359,380,14045,13.82352941,15
52,124543,TX,M,688,422,466,457,490,16561,11.06666667,18
53,163018,CA,M,3500,351,260,463,407,26034,15.66666667,24
54,190671,CA,F,2143,280,353,328,373,12935,9.260869565,14
55,33356,FL,F,625,246,466,362,536,19102,14.09090909,20
56,151600,Cali,M,1560,500,488,487,485,13816,15,21
57,21259,NC,female,716,146,339,227,382,11136,12.47826087,15
58,128987,TX,F,1247,215,313,350,444,16891,26.33333333,41
59,108926,LA,M,611,265,323,302,337,12313,15,20
60,154709,Cali,F,1431,291,390,315,376,10498,13,5
61,108050,LA,F,1089,431,520,480,538,16777,5.2,16
62,187274,IA,F,435,244,298,281,329,10692,15,15
63,171655,Cali,F,1409,321,405,377,428,15611,12.66666667,12
64,160488,OR,M,647,369,422,401,463,18492,9.5,10
65,21305,NC,M,415,199,308,242,300,11449,8.333333333,10
66,98470,IL,F,492,172,384,276,399,13218,8.75,14
67,140586,TX,M,1043,610,682,731,788,49744,13.25,20
68,158101,Cali,M,3668,690,693,781,780,32964,15,15
69,150043,Cali,M,3491,791,828,853,903,32718,20,20
70,96251,IL,F,192,164,211,186,224,7361,5.866666667,10
71,188547,Cali,M,0,0,0,0,0,0,20.26086957,25
72,180617,WA,male,824,225,308,293,383,13090,7.483333333,11
73,86000,SD,F,428,205,318,245,309,11192,11.25,10
74,13265,AL,F,417,122,283,160,250,9715,7.75,11
75,71,TN,F,399,307,315,336,352,11428,6.818181818,16
76,148969,Cali,F,2377,633,637,652,663,19545,9.111111111,10
77,156324,Cali,F,2016,431,465,459,497,17882,8.75,15
78,130976,CO,F,933,289,332,349,379,14104,8.142857143,7
79,140141,NM,F,619,215,222,260,268,10427,12.8,14
80,85416,Cali,F,3303,533,568,586,614,24251,14,25
81,108150,LA,F,960,479,526,548,613,19518,15.2,20
82,129823,CO,M,1236,622,630,727,737,25882,6.076923077,10
83,104413,AZ,M,473,164,179,207,215,9819,5.5,6
84,60512,IL,F,1055,366,462,379,400,11289,20.8,25
85,90480,IL,F,1509,545,617,599,680,23170,9,11
86,148911,Cali,F,1953,454,526,478,564,21667,15.5,10
87,52990,TN,M,927,299,322,372,410,14428,5,26
88,148022,Cali,F,2098,305,311,352,368,13564,6.076923077,10
89,147406,Cali,M,5209,1054,1220,1058,1128,52654,30.94117647,38
90,103468,MO,F,476,219,280,272,319,10966,7.1,15
91,84100,MN,M,1515,648,684,717,781,25787,14,14
92,137548,AZ,M,2158,411,516,535,640,33235,7.933333333,9
93,6932,MO,M,1110,460,544,538,624,21875,7.264705882,10
94,37118,FL,F,581,349,361,359,373,9667,9.857142857,15
95,109179,LA,M,563,259,301,308,342,10726,10.18181818,14
96,140642,NM,F,740,240,288,294,324,10701,5,5
97,77057,IA,F,516,332,378,347,379,13293,12.33333333,15
98,83131,MN,M,575,249,282,290,316,9843,10,20
99,168078,Cali,M,2357,511,540,570,609,23786,13.66666667,19
100,32975,SC,M,645,304,360,306,376,6826,10.875,25
101,37472,FL,M,825,233,239,290,301,9747,20,20
102,63113,IN,M,531,246,278,272,290,10423,5.375,5
103,57039,KY,F,195,131,148,159,179,5727,4.302325581,5
104,58786,KY,F,423,293,297,274,279,10343,6.055555556,20
105,164306,Cali,F,2725,629,684,662,734,24424,15,30
106,113129,OK,F,359,220,247,270,299,13024,20,20
107,19094,CT,F,1373,472,463,504,517,17363,28.33333333,40
108,102224,NJ,J,1439,370,414,417,464,13353,6.125,6
109,155375,Cali,F,889,398,488,450,495,13782,5.846153846,6
110,185030,FL,M,824,248,274,288,326,15008,10.15384615,10
111,149887,Cali,M,1993,442,472,484,520,16427,10.83333333,15
112,117216,TX,F,618,233,310,302,394,12864,10.25,30
113,167892,Cali,F,3259,267,626,508,591,19399,7.666666667,10
114,107618,NE,F,151,180,208,230,273,9138,2.361111111,2
115,72410,MI,M,492,272,370,317,402,14442,14.57142857,20
116,112319,AR,Female,892,380,406,426,468,19444,17,30
117,28061,GA,F,948,531,530,585,584,19537,5.484848485,5
118,108371,LA,F,717,190,313,235,302,10888,24.16666667,20
119,187807,MI,M,612,330,326,392,400,13162,12.1,22
120,180383,WA,F,919,338,337,349,346,12507,8.214285714,11
121,183013,WA,male,697,317,364,337,406,13561,10,11
122,187769,Cali,M,5059,693,752,751,847,29368,10.6,25
123,191056,Cali,M,5667,492,808,594,848,51280,28.83333333,47
124,151891,Cali,F,2750,668,701,717,781,26199,11.44444444,15
125,5822,KS,F,513,400,434,436,482,20842,6.07675,11
126,164969,Cali,F,1848,505,515,560,581,19729,5.684210526,7
127,172846,Cali,M,1417,406,341,519,508,18590,14.11111111,10
128,95951,IL,F,347,210,255,229,286,10356,8.076923077,20
129,18089,NC,M,994,404,475,485,530,17420,13.77777778,25
130,35276,FL,F,3542,642,690,807,843,53131,6.642857143,10
131,18607,NC,M,797,377,418,423,451,16163,7.769230769,23
132,61275,IN,M,791,361,407,390,428,13805,7.636363636,12
133,36141,FL,F,957,408,399,450,459,17718,15,10
134,85716,MN,F,357,164,214,215,254,8443,25,25
135,154195,Cali,F,896,336,362,389,418,14513,20,20
136,46755,AL,F,402,232,249,276,300,10540,4.833333333,5
137,13239,FL,M,3083,166,270,233,332,16019,2.916666667,3
138,86068,SD,F,460,247,357,300,372,11245,9.363636364,5
139,67900,MI,M,294,279,355,391,404,10385,17.5,20
140,59610,IN,F,1199,547,556,597,605,20694,10,15
141,13378,CA,F,1125,280,336,305,362,10857,5.714285714,7
142,20752,NC,M,974,252,279,300,330,13321,8.533333333,13
143,30934,GA,M,316,213,238,254,280,8956,12.5,15
144,102163,MO,F,825,401,463,464,555,28003,25,30
145,128976,TX,F,642,271,284,306,312,9453,6.142857143,10
146,44088,IN,M,1263,468,517,548,601,26265,7.6875,10
147,154931,CA,F,1809,454,466,503,543,15886,8,10
148,87939,IL,M,5294,1035,1165,1012,1065,60053,13,30
149,140779,NV,F,1161,448,484,536,570,20691,5.75,6
150,113838,OK,F,295,150,203,195,248,8962,6.333333333,8
151,156568,CA,F,3020,756,765,809,823,26135,40.08333333,75
152,130485,CO,F,431,258,342,386,541,25828,8.571428571,16
153,101803,MO,F,544,264,283,326,340,16194,11,25
154,41899,FL,M,618,223,278,278,335,13341,7.846153846,10
155,30795,GA,M,323,183,207,201,210,7139,5.444444444,10
156,133256,ID,M,1104,511,528,534,566,17366,13,10
157,151203,CA,U,2135,417,417,433,456,18907,8.2,5
158,31425,GA,M,671,287,365,372,441,16517,4.888888889,16
159,70524,MI,F,510,228,370,324,394,12576,10.8,23
160,161229,CA,F,650,302,302,315,318,7080,8.666666667,21
161,83181,MN,F,487,248,287,286,327,10792,12.72727273,15
162,143528,CA,F,2925,288,305,353,376,23046,7.523809524,10
163,42970,FL,M,884,242,268,271,313,13491,4.428571429,3
164,83708,MN,F,753,341,393,373,442,15502,8.4,10
165,101390,MO,F,594,337,350,343,347,13094,2.571428571,2
166,77898,WI,male,627,367,427,394,444,15350,7.5,10
167,77345,WI,male,806,331,420,382,447,15120,13.2,16
168,142579,CA,F,3149,504,601,562,672,22033,10.71428571,20
169,162209,CA,F,5266,495,675,669,785,43828,9.2,10
170,171396,CA,M,1401,441,445,462,466,15438,5,6
171,129530,CO,M,593,163,180,207,230,9520,12.5,10
172,33773,FL,F,915,308,357,367,438,17783,13,20
173,10031,NE,F,456,258,311,314,381,13411,7.285714286,10
174,62056,IN,M,610,319,336,384,407,11815,4.625,7
175,11494,FL,M,1229,469,502,507,544,17313,8.4,5
176,44847,FL,M,428,140,196,171,208,9064,9.769230769,10
177,94851,IL,F,2333,316,643,420,744,33535,7.307692308,10
178,15668,NC,M,707,383,400,398,433,13852,9.333333333,45
179,175579,OR,F,377,171,199,219,187,21980,16.66666667,20
180,150534,CA,U,1624,380,382,407,408,9685,5,4
181,68441,MI,F,348,184,269,264,316,11686,27.5,30
182,157185,CA,F,1878,523,526,564,566,16084,6.785652174,5
183,90816,IL,F,777,378,386,396,423,14106,17.8,20
184,94915,IL,F,1463,117,439,266,523,13344,12.16666667,15
185,118392,TX,M,375,153,214,206,248,7798,5.347826087,12
186,187571,IN,F,561,302,301,323,331,10873,19.66666667,26
187,21659,NC,M,502,199,250,229,261,8726,7.875,10
188,157672,CA,M,4206,789,804,834,850,37411,12.66666667,10
189,64166,IN,M,800,283,398,338,425,15160,16.6,23
190,185304,CO,M,1472,625,653,687,732,27469,15.21428571,21
191,57963,KY,F,492,332,450,425,471,21410,8.4375,10
192,98249,IL,F,609,314,347,349,385,11360,6.666666667,10
193,153689,CA,F,2430,604,610,659,669,20529,9.5,20
194,157807,CA,M,2559,581,591,614,651,21559,10.25,16
195,41715,FL,F,696,272,357,358,427,16474,3.3,3
196,45356,FL,M,762,254,355,327,411,17458,6.608695652,8
197,163506,CA,F,3556,735,701,838,805,34382,15.85714286,15
198,107727,NE,F,441,260,321,300,353,12452,5.279069767,7
199,64212,IN,F,502,319,363,341,388,12989,15.66666667,20
200,60252,IN,M,673,284,330,335,373,15149,13.45454546,15
201,45101,FL,F,1173,322,424,407,494,18738,4.125,3
202,36528,FL,F,934,323,373,376,400,9980,25,25
203,38820,FL,M,1332,357,411,422,497,21444,9.576923077,20
204,133906,ID,F,451,225,261,262,294,10244,15,10
205,12226,CO,F,649,238,273,272,302,10417,5.411764706,8
206,8696,OK,F,590,410,439,433,456,13115,13,11
207,119368,TX,F,500,291,316,314,379,19609,11.5,25
208,14319,FL,M,368,230,271,261,295,9547,10.7,19
209,118408,TX,M,427,315,365,340,377,11299,9,15
210,146585,CA,F,1458,173,191,220,249,8381,4.243243243,8
211,120115,TX,M,274,154,214,199,256,8881,40.875,200
212,57463,KY,F,584,274,287,336,341,15105,11.14285714,10
213,94394,IL,F,553,306,309,333,348,9296,8.916666667,10
214,155135,CA,M,903,321,406,358,390,10985,6.75,7
215,149595,CA,M,2545,361,304,386,358,14300,12.5,17
216,166606,CA,F,1778,411,480,439,503,18236,39.44444444,50
217,8240,CA,F,1187,328,366,393,428,13978,10.81481482,10
218,185904,TX,F,1448,651,667,698,724,24736,7.076923077,13
219,49351,AL,Male,712,377,398,446,472,15013,14.2,15
220,191779,FL,M,1432,636,693,680,772,35544,25,150
221,169881,CA,F,2598,470,557,562,661,31631,8.222222222,15
222,144356,CA,F,2855,311,385,484,537,18525,6.538461539,20
223,186528,TX,F,535,244,437,317,402,17053,9.8125,15
224,14161,WA,male,703,161,206,206,232,8860,7.818181818,10
225,190839,IL,M,662,352,406,394,456,13460,12.5,15
226,146269,CA,F,2973,576,591,624,654,18497,7.25,10
227,188507,CA,F,2289,631,647,657,679,22571,9.769230769,10
228,116251,TX,F,1274,789,798,804,825,26360,6.409090909,10
229,81945,WI,male,840,458,471,513,548,20327,15,20
230,8989,WA,F,1024,441,451,446,472,13462,10.5,32
231,47282,AL,F,558,336,354,382,398,13299,7.5,15
232,2950,MT,M,717,306,315,333,358,11279,4.85,2
233,87771,IL,F,1667,541,603,592,624,21458,13.33333333,20
234,167934,WA,F,843,423,424,475,486,16476,10.72727273,21
235,26045,GA,F,583,360,374,405,434,24198,9.666666667,14
236,661,CA,M,1801,495,534,475,525,18663,19.47058824,20
237,47569,AL,F,863,406,527,459,562,19862,9.153846154,10
238,176743,OR,M,335,140,157,154,170,6682,4.857142857,7
239,188164,TX,F,1362,575,645,627,718,21447,8.533333333,10
240,134364,UT,F,700,252,257,281,302,12806,20,20
241,93742,IL,F,562,360,480,388,474,12391,20,30
242,39479,FL,M,1287,479,508,567,616,20795,4.105769231,4
243,54142,TN,F,476,210,254,272,310,10171,13,21
244,168038,CA,M,5939,1214,1211,1080,1085,64833,20,36
245,48675,AL,F,648,353,418,357,453,16873,7,5
246,158980,CA,M,1862,365,372,401,425,10521,17.85714286,20
247,153888,CA,F,1843,515,511,575,582,23660,19,10
248,162300,CA,M,5190,870,892,871,918,39481,9.888888889,20
249,163081,CA,M,3912,351,410,404,454,19508,6,7
250,14000,OK,F,1537,791,783,916,949,32640,11.0625,12
251,6599,WA,F,719,330,340,389,416,14248,10.86666667,11
252,135454,AZ,M,1074,469,472,510,516,18042,8.823529412,15
253,128643,TX,M,298,268,281,267,303,9838,6.625,4
254,116420,TX,M,1951,807,838,870,896,31111,9.333333333,20
255,35101,FL,M,1434,388,479,513,577,18405,18,20
256,75474,IA,M,206,229,251,267,288,9248,11.66666667,15
257,785,MI,M,613,146,267,209,349,13209,17.5,18
258,27624,GA,F,991,493,506,532,548,17344,7.769230769,8
259,73754,MI,F,900,343,420,386,465,16254,13.31818182,25
260,141189,NV,F,1163,468,493,511,548,18824,53,25
261,1544,HI,F,3260,509,542,552,581,19165,13,10
262,124149,TX,M,430,237,283,281,320,10269,12,14
263,85890,SD,F,167,214,273,247,290,9452,14.41176471,20
264,37005,FL,F,1380,260,325,299,371,13011,7.875,11
265,166324,CA,U,3357,284,455,343,447,24240,11.85714286,19
266,13448,CA,F,1518,150,171,208,218,5043,5.055555556,5
267,180428,WA,male,1390,426,430,463,470,15022,18,20
268,12517,MO,M,1224,575,577,608,611,18029,2.8125,1
269,99246,IL,F,182,171,217,242,278,9240,10.26666667,20
270,174760,OR,F,786,419,452,444,466,15010,4.555555556,5
271,124379,TX,M,308,161,186,204,219,6576,4.5,5
272,176862,OR,F,1074,232,252,294,309,15070,10.04347826,20
273,188986,AZ,M,885,367,408,417,454,21767,9.714285714,9
274,148906,CA,F,2375,371,363,411,363,15361,4.142857143,6
275,109646,LA,M,657,265,293,303,325,12509,9.472222222,10
276,62295,IN,F,581,369,372,369,383,12835,25.5,20
277,162650,CA,M,3010,410,518,431,559,19149,8.333333333,5
278,99836,MO,M,548,262,355,298,342,12621,15,21
279,33994,FL,M,819,348,388,421,459,15958,7.090909091,6
